Id,Zone,Type,Location,Baths,Area,Purpose,Bedrooms,Added,Price,hasFlooring,hasElectricityBackup,hasLift,hasGarden,hasParking,hasSwimmingPool,hasJacuzzi,hasMaintenanceStaff,hasSecurityStaff,URL
23550364,DHA Phase 4,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",6,12 Marla,For Sale,5,20 hours ago,8.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_300_yard_new_design_bungalow_5_beds_attached_bath_drawing_dining_2_lounges_servant_quarter-23550364-1481-1.html
24103423,DHA Phase 8,Flat,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,11.8 Marla,For Sale,3,1 day ago,4.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_brand_new_3_bed_flat_for_sale_in_coral_tower_emaar_crescent_bay_karachi-24103423-1485-1.html
13853496,Muslim Commercial Area,Flat,"Muslim Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",-,2.2 Marla,For Sale,2,1 day ago,65 Lakh,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_muslim_commercial_area_2_bed_studio_apartment_for_sale_in_dha_phase_6-13853496-8493-1.html
14623436,Bukhari Commercial Area,Flat,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",-,7.6 Marla,For Sale,3,22 hours ago,2.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_3rd_floor_flat_is_available_for_sale_in_phase_6-14623436-6674-1.html
20410824,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",-,1.9 Kanal,For Sale,6,1 week ago,15.4 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_2_unit_bungalow_is_available_for_sale-20410824-1485-1.html
23857839,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,2 weeks ago,14 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_500_sq_yard_brand_new_bungalow_available_for_sale_phase_6-23857839-1483-1.html
24684743,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",-,1 Kanal,For Sale,5,1 week ago,10.25 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_dha_defence_phase_viii_500_sq_yards_bungalow_for_sale-24684743-1485-1.html
14119940,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,2 Kanal,For Sale,6,1 week ago,23.9 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_brand_new_bungalow_for_sale-14119940-1485-1.html
24273596,DHA Phase 2,House,"DHA Phase 2, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,6,3 weeks ago,8.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_2_a_very_well_maintained_house_available_for_sale-24273596-1479-1.html
24531639,DHA Phase 5,House,"DHA Phase 5, DHA Defence, Karachi, Sindh",-,1 Kanal,For Sale,-,2 weeks ago,8.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_bungalow_available_for_sale_500_yards_in_dha_phase_5-24531639-1482-1.html
23180638,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,1 week ago,15.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_brand_new_bungalow_for_sale-23180638-1483-1.html
21368385,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",5,6 Marla,For Sale,5,1 week ago,6.6 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_a_luxury_style_furnished_house_is_available_for_sale_with_basement-21368385-1485-1.html
24682113,DHA Phase 8 - Zone A,House,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,1 week ago,15.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_zone_a_architect_built_500_yards_brand_new_bungalow_qasim_streets-24682113-6677-1.html
24865799,Rahat Commercial Area,Flat,"Rahat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,4.2 Marla,For Sale,2,4 hours ago,1.1 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_rahat_commercial_area_flat_is_available_for_sale_in_dha_defence-24865799-8502-1.html
22697880,Emaar Crescent Bay,Flat,"Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,11.1 Marla,For Sale,3,1 week ago,5.3 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_emaar_crescent_bay_3_bedrooms_apartment_for_sale__in_emaar_crescent_bay_karachi-22697880-8503-1.html
24528834,DHA Defence,House,"DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,5,1 week ago,7 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/karachi_dha_defence_bungalow_for_sale-24528834-213-1.html
21449731,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,5,16 hours ago,15 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_chance_deal_brand_new_with_furnish_bungalow_available_for_sale_in_phase_6_dha-21449731-1483-1.html
23337525,DHA Phase 7 Extension,House,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",3,4 Marla,For Sale,3,16 hours ago,4.25 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_defence_dha_phase_7_extension_100_yards_brand_new_bungalow_available_for_sale-23337525-1674-1.html
22936235,DHA Phase 7,Flat,"DHA Phase 7, DHA Defence, Karachi, Sindh",4,8 Marla,For Sale,3,15 hours ago,1.65 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_3_bed_rooms_apartment_for_sale_with_car_parking-22936235-1484-1.html
22150048,Creek Vista,Flat,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",4,14.7 Marla,For Sale,3,20 hours ago,6.25 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_creek_vista_3300_sqft_very_well_maintained_3_bedroom_apartment_is_available_for_sale-22150048-9058-1.html
23066172,Sehar Commercial Area,Flat,"Sehar Commercial Area, DHA Phase 7, DHA Defence, Karachi, Sindh",3,5.3 Marla,For Sale,3,15 hours ago,1.3 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_7_sehar_commercial_area_3_bedrooms_apartment_is_available_for_sale-23066172-8489-1.html
23792447,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",5,10 Marla,For Sale,4,15 hours ago,6.25 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_like_brand_new_250_sq_yards_duplex_house_for_sale-23792447-1484-1.html
24810553,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",8,1 Kanal,For Sale,6,1 day ago,10 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_big_chance_deal_500_yard_brand_new_2_unite_banglow_for_sale_most_prime_location-24810553-1484-1.html
23971720,Bukhari Commercial Area,Flat,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,4.4 Marla,For Sale,2,1 day ago,1.2 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_apartment_for_sale_un_furnish_two_bed_drawing_dining-23971720-6674-1.html
24762196,DHA Phase 8 - Zone A,House,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,5,20 hours ago,9.65 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_zone_a_500_sq_yard_brand_new_bungalow_for_sale_phase_8_khybaneqasim-24762196-6677-1.html
24592712,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,1 day ago,13 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_kybane_iqbal_500_yard_brand_new_bungalow_2_4_bedrooms_for_sale-24592712-1485-1.html
